name,city,state,address,latitude,longitude
"Mir Abu Turab  Tomb, Ahmedabad",,Gujarat ,"Mir Abu Turab  Tomb, Ahmedabad, Gujarat ",,
"Ram  Laxman Temple, Baradia",,Gujarat ,"Ram  Laxman Temple, Baradia, Gujarat ",22.2053276,69.0047804
"Shah Kupai Masjid, Ahmedabad",,Gujarat ,"Shah Kupai Masjid, Ahmedabad, Gujarat ",,
Caves at Talaja and |Jaina Temples ,,Gujarat ,"Caves at Talaja and |Jaina Temples , Gujarat ",,
"Ancient Site, Ther Mound, Sirsa",,Haryana ,"Ancient Site, Ther Mound, Sirsa, Haryana ",,
Mosque of Sarai of Ali Vardi Khan,,Haryana ,"Mosque of Sarai of Ali Vardi Khan, Haryana ",,
"Two Gateways of Mughal Sarai, Gharaunda",,Haryana ,"Two Gateways of Mughal Sarai, Gharaunda, Haryana ",,
Prithviraj Chauhans Fort,,Haryana ,"Prithviraj Chauhans Fort, Haryana ",,
"Ancient Site, Rakhigarhi",,Haryana ,"Ancient Site, Rakhigarhi, Haryana ",,
Buria Kal Nala,,Haryana ,"Buria Kal Nala, Haryana ",,
Raja Harsh Ka Tila,,Haryana ,"Raja Harsh Ka Tila, Haryana ",,
"Kos Minar 22, Palwal",,Haryana ,"Kos Minar 22, Palwal, Haryana ",,
"Ancient Site,",,Haryana ,"Ancient Site,, Haryana ",29.5549145,75.5477754
Ancient Site,,Haryana ,"Ancient Site, Haryana ",29.5549145,75.5477754
Ancient Site,,Haryana ,"Ancient Site, Haryana ",29.5549145,75.5477754
Kos Minar,,Haryana ,"Kos Minar, Haryana ",,
Gauri Shankar Temple,,Himachal Pradesh ,"Gauri Shankar Temple, Himachal Pradesh ",,
Nurpur Fort,,Himachal Pradesh ,"Nurpur Fort, Himachal Pradesh ",,
Hemis Monastery ,,Jammu & Kashmir ,"Hemis Monastery , Jammu & Kashmir ",,
Phyang Monastery,,Jammu & Kashmir ,"Phyang Monastery, Jammu & Kashmir ",,
"Likir Monastery, ",,Jammu & Kashmir ,"Likir Monastery, , Jammu & Kashmir ",,
Lamayuru Monastery ,,Jammu & Kashmir ,"Lamayuru Monastery , Jammu & Kashmir ",,
Rock-cut sculpture of Maitreya ,,Jammu & Kashmir ,"Rock-cut sculpture of Maitreya , Jammu & Kashmir ",,
Buddhist Monastery ,,Jammu & Kashmir ,"Buddhist Monastery , Jammu & Kashmir ",,
Shey Palace ,,Jammu & Kashmir ,"Shey Palace , Jammu & Kashmir ",,
Ali Shaheed Peer Mosque,,Karnataka ,"Ali Shaheed Peer Mosque, Karnataka ",,
Allahpur Gate,,Karnataka ,"Allahpur Gate, Karnataka ",,
Ambar Khan,,Karnataka ,"Ambar Khan, Karnataka ",,
Badi Kaman,,Karnataka ,"Badi Kaman, Karnataka ",,
Bahumani Gate,,Karnataka ,"Bahumani Gate, Karnataka ",,
Bathulla Khan's Mosque,,Karnataka ,"Bathulla Khan's Mosque, Karnataka ",,
Fort Wall (from Managoli gate to Bahumani Gate),,Karnataka ,"Fort Wall (from Managoli gate to Bahumani Gate), Karnataka ",,
Golgumbaz & other structures within the protected area,,Karnataka ,"Golgumbaz & other structures within the protected area, Karnataka ",,
Haji Hassan Saheb's tomb,,Karnataka ,"Haji Hassan Saheb's tomb, Karnataka ",,
Managoli Gate or Fateh Gate,,Karnataka ,"Managoli Gate or Fateh Gate, Karnataka ",,
Moats of the Fort wall (from Bahumani gate to Mangoli gate),,Karnataka ,"Moats of the Fort wall (from Bahumani gate to Mangoli gate), Karnataka ",,
Mubarak Khan Mahal,,Karnataka ,"Mubarak Khan Mahal, Karnataka ",,
Mustafa Bad Gun,,Karnataka ,"Mustafa Bad Gun, Karnataka ",,
Mustafa Khan Mosque,,Karnataka ,"Mustafa Khan Mosque, Karnataka ",,
Nagthan Gate,,Karnataka ,"Nagthan Gate, Karnataka ",,
Nov Gumbaz,,Karnataka ,"Nov Gumbaz, Karnataka ",,
Padshapur Gate,,Karnataka ,"Padshapur Gate, Karnataka ",,
Water Pavilion to the North of Mubarak Khan's mosque,,Karnataka ,"Water Pavilion to the North of Mubarak Khan's mosque, Karnataka ",,
Water tower No. 114 with inscriptions to the south of Asar Mahal,,Karnataka ,"Water tower No. 114 with inscriptions to the south of Asar Mahal, Karnataka ",,
Water tower No. 115 to the south of Chinch Didi Mosque,,Karnataka ,"Water tower No. 115 to the south of Chinch Didi Mosque, Karnataka ",,
Water tower No. 142 to the north west of Nav Gumbaz and to the west of Kawas Khan's Mahal,,Karnataka ,"Water tower No. 142 to the north west of Nav Gumbaz and to the west of Kawas Khan's Mahal, Karnataka ",,
Water tower No. 147 to the south of Badi Kaman,,Karnataka ,"Water tower No. 147 to the south of Badi Kaman, Karnataka ",,
Water Tower nO. 286 to the north east of Mecca Masjid,,Karnataka ,"Water Tower nO. 286 to the north east of Mecca Masjid, Karnataka ",,
Sanda Burz,,Karnataka ,"Sanda Burz, Karnataka ",,
Shapur Gate,,Karnataka ,"Shapur Gate, Karnataka ",,
Jorapur Gate,,Karnataka ,"Jorapur Gate, Karnataka ",,
Mecz ca Gate,,Karnataka ,"Mecz ca Gate, Karnataka ",,
Gun Farangi Shahiburz,,Karnataka ,"Gun Farangi Shahiburz, Karnataka ",,
Sarwad Mosque,,Karnataka ,"Sarwad Mosque, Karnataka ",,
Landa Khasba Gun,,Karnataka ,"Landa Khasba Gun, Karnataka ",,
Small Pavilion in front of Asar Mahal,,Karnataka ,"Small Pavilion in front of Asar Mahal, Karnataka ",,
Water Pavilion,,Karnataka ,"Water Pavilion, Karnataka ",15.3202305,76.4706453
Arquilla Moat,,Karnataka ,"Arquilla Moat, Karnataka ",,
Chinch Didi Mosque,,Karnataka ,"Chinch Didi Mosque, Karnataka ",,
Andu Masjid,,Karnataka ,"Andu Masjid, Karnataka ",,
Ibrahim Old Jami Mosque,,Karnataka ,"Ibrahim Old Jami Mosque, Karnataka ",,
Gummat Bavdi,,Karnataka ,"Gummat Bavdi, Karnataka ",,
Sikandar Shah Tomb,,Karnataka ,"Sikandar Shah Tomb, Karnataka ",,
Yakub Dabuli Mahal (30),,Karnataka ,"Yakub Dabuli Mahal (30), Karnataka ",,
Ikhlaskhan Mosque,,Karnataka ,"Ikhlaskhan Mosque, Karnataka ",,
Shah Nawazkhan's Mosque/tomb,,Karnataka ,"Shah Nawazkhan's Mosque/tomb, Karnataka ",,
Moti Darga (Mahal),,Karnataka ,"Moti Darga (Mahal), Karnataka ",,
Hyderkhan's tomb,,Karnataka ,"Hyderkhan's tomb, Karnataka ",,
Nityanavarasa Mosque,,Karnataka ,"Nityanavarasa Mosque, Karnataka ",,
Tomb No. 47,,Karnataka ,"Tomb No. 47, Karnataka ",12.959334,77.6051987
Suneri Masjid,,Karnataka ,"Suneri Masjid, Karnataka ",,
Tomb No. 22 near Chand Bavadi,,Karnataka ,"Tomb No. 22 near Chand Bavadi, Karnataka ",,
Masjid Katijapur,,Karnataka ,"Masjid Katijapur, Karnataka ",16.765065,75.675618
Aqueduct running from Bhat bavadi south west of Torvi village to Taj Bavadi,,Karnataka ,"Aqueduct running from Bhat bavadi south west of Torvi village to Taj Bavadi, Karnataka ",,
Chand Bavadi,,Karnataka ,"Chand Bavadi, Karnataka ",,
Mulla Mosque,,Karnataka ,"Mulla Mosque, Karnataka ",15.5550333,74.8241983
Zanziri Mosque of Jahan Begaum's Mosque (20),,Karnataka ,"Zanziri Mosque of Jahan Begaum's Mosque (20), Karnataka ",,
Malik Sandal Mosque,,Karnataka ,"Malik Sandal Mosque, Karnataka ",,
Fort,,Karnataka ,"Fort, Karnataka ",17.3439629,76.8313091
Khan Jahan Barid tombs ,,Karnataka ,"Khan Jahan Barid tombs , Karnataka ",,
Bidar Fort (Inner & outer),,Karnataka ,"Bidar Fort (Inner & outer), Karnataka ",,
Gowrishwara Temple,,Karnataka ,"Gowrishwara Temple, Karnataka ",,
St. Angelo Fort,,Kerala ,"St. Angelo Fort, Kerala ",11.8541212,75.3719755
Fort,,Kerala ,"Fort, Kerala ",8.481552,76.9423592
Bekal Fort,,Kerala ,"Bekal Fort, Kerala ",12.3922237,75.0327651
Gond Fort called Satkhanda and the tower on Rajghat called Shahburz and the Temples therein ,,Madhya Pradesh ,"Gond Fort called Satkhanda and the tower on Rajghat called Shahburz and the Temples therein , Madhya Pradesh ",,
Pre-Historic Rock Shelters at Bhimbetka,,Madhya Pradesh ,"Pre-Historic Rock Shelters at Bhimbetka, Madhya Pradesh ",,
Kotla of Twelve Imams,,Maharashtra ,"Kotla of Twelve Imams, Maharashtra ",,
Mucca Masjid,,Maharashtra ,"Mucca Masjid, Maharashtra ",,
Ancient site locally known as Ladmod,,Maharashtra ,"Ancient site locally known as Ladmod, Maharashtra ",,
Ancient Site at Paithan,,Maharashtra ,"Ancient Site at Paithan, Maharashtra ",,
Ellora Caves,,Maharashtra ,"Ellora Caves, Maharashtra ",20.0267525,75.1775152
Grishneshwar Temple,,Maharashtra ,"Grishneshwar Temple, Maharashtra ",,
Devi Temple at Patna,,Maharashtra ,"Devi Temple at Patna, Maharashtra ",,
Balapur Fort,,Maharashtra ,"Balapur Fort, Maharashtra ",20.6706993,76.7736955
Anchaleshwar Temple,,Maharashtra ,"Anchaleshwar Temple, Maharashtra ",,
Mahakali Temple,,Maharashtra ,"Mahakali Temple, Maharashtra ",18.5380151,73.2210423
Temple of Shiva on further side of the stream at Parner,,Maharashtra ,"Temple of Shiva on further side of the stream at Parner, Maharashtra ",,
Siddheshwar Mahadeo Temple,,Maharashtra ,"Siddheshwar Mahadeo Temple, Maharashtra ",,
Ancient Site and remains at Tekwada,,Maharashtra ,"Ancient Site and remains at Tekwada, Maharashtra ",,
Group of temple at Markandadeo,,Maharashtra ,"Group of temple at Markandadeo, Maharashtra ",,
Trimbakeshwar Temple,,Maharashtra ,"Trimbakeshwar Temple, Maharashtra ",19.9321202,73.5307549
Mathichi Ghadi,,Maharashtra ,"Mathichi Ghadi, Maharashtra ",,
"Siddeshwar Mahadev Temple, at Vaghli, Dist-Jalgaon",,Maharashtra ,"Siddeshwar Mahadev Temple, at Vaghli, Dist-Jalgaon, Maharashtra ",,
Caves and Temple at Harishchandragad,,Maharashtra ,"Caves and Temple at Harishchandragad, Maharashtra ",,
Sholapur Fort,,Maharashtra ,"Sholapur Fort, Maharashtra ",,
Ardhanari Nateshwar Temple,,Maharashtra ,"Ardhanari Nateshwar Temple, Maharashtra ",,
Raigad Fort,,Maharashtra ,"Raigad Fort, Maharashtra ",18.2353381,73.4447863
Kolaba Fort,,Maharashtra ,"Kolaba Fort, Maharashtra ",18.9276623,72.8270393
Mound locally known as Sonar Bhat,,Maharashtra ,"Mound locally known as Sonar Bhat, Maharashtra ",,
"Group of monuments, Agarkot",,Maharashtra ,"Group of monuments, Agarkot, Maharashtra ",,
Jageshwari Caves,,Maharashtra ,"Jageshwari Caves, Maharashtra ",,
Ancient site at Brahampuri,,Maharashtra ,"Ancient site at Brahampuri, Maharashtra ",,
Bhuleshwar Mahadev Temple,,Maharashtra ,"Bhuleshwar Mahadev Temple, Maharashtra ",,
Hirakot Old Fort,,Maharashtra ,"Hirakot Old Fort, Maharashtra ",18.6482741,72.8691783
Bassein Fort,,Maharashtra ,"Bassein Fort, Maharashtra ",19.3292199,72.8145892
"Portuguese Monastery Over the Cave and Large Watch Tower on the Adjoining Hill, Mandapeshwar",,Maharashtra ,"Portuguese Monastery Over the Cave and Large Watch Tower on the Adjoining Hill, Mandapeshwar, Maharashtra ",,
"Nili Masjid, Hauz Khas",,Delhi ,"Nili Masjid, Hauz Khas, Delhi ",28.5535401,77.2070264
"Ancient Mosque, Palam",,Delhi ,"Ancient Mosque, Palam, Delhi ",,
"Qudasia Mosque, Qudasia Garden",,Delhi ,"Qudasia Mosque, Qudasia Garden, Delhi ",,
"Sunehri Masjid near Red Fort, Delhi Fort",,Delhi ,"Sunehri Masjid near Red Fort, Delhi Fort, Delhi ",,
"Purana Qila (Indraprastha), Two miles south of the",,Delhi ,"Purana Qila (Indraprastha), Two miles south of the, Delhi ",,
"Tughluqabad, Badarpur Zail",,Delhi ,"Tughluqabad, Badarpur Zail, Delhi ",,
Begumpuri Masjid & Bijai Mandal ,,Delhi ,"Begumpuri Masjid & Bijai Mandal , Delhi ",,
"Sarai Shahji, Near Shivalik Malviya Nagar",,Delhi ,"Sarai Shahji, Near Shivalik Malviya Nagar, Delhi ",,
"Rajpur (Mutiny Cemetery), Old Rajpur Cantonment, North District",,Delhi ,"Rajpur (Mutiny Cemetery), Old Rajpur Cantonment, North District, Delhi ",,
"D Eremao Cemetery, ",,Delhi ,"D Eremao Cemetery, , Delhi ",,
"Tomb of Razia Begum in Mohalla Bulbuli Khana, Sahajahanabad",,Delhi ,"Tomb of Razia Begum in Mohalla Bulbuli Khana, Sahajahanabad, Delhi ",,
"Bijay Mandal neighbouring domes, buildings and dalan in village Kalusarai to north of Begumpur",,Delhi ,"Bijay Mandal neighbouring domes, buildings and dalan in village Kalusarai to north of Begumpur, Delhi ",,
Barabati Fort,,Odisha ,"Barabati Fort, Odisha ",20.4852762,85.8650129
Khandagiri Hill,,Odisha ,"Khandagiri Hill, Odisha ",,
Sisupalgarh,,Odisha ,"Sisupalgarh, Odisha ",20.2288183,85.8526933
Choudwar Fort,,Odisha ,"Choudwar Fort, Odisha ",,
Bhatinida Fort,,Punjab ,"Bhatinida Fort, Punjab ",,
Mound known as Mud fort,,Punjab ,"Mound known as Mud fort, Punjab ",,
"Summer Palace of Maharaja Ranjit Singh, Company Bagh",,Punjab ,"Summer Palace of Maharaja Ranjit Singh, Company Bagh, Punjab ",,
"Noor Mahal, Sarai",,Punjab ,"Noor Mahal, Sarai, Punjab ",,
"Ancient Site, Naggar",,Punjab ,"Ancient Site, Naggar, Punjab ",,
Chittourgarh Fort,,Rajasthan ,"Chittourgarh Fort, Rajasthan ",,
Ranthombhor Fort,,Rajasthan ,"Ranthombhor Fort, Rajasthan ",,
Kumbhalgarh Fort,,Rajasthan ,"Kumbhalgarh Fort, Rajasthan ",25.1526768,73.5862851
Shiv Temple at Charchoma,,Rajasthan ,"Shiv Temple at Charchoma, Rajasthan ",,
"Saraj Sadulla, Bayana",,Rajasthan ,"Saraj Sadulla, Bayana, Rajasthan ",,
Lal Mahal,,Rajasthan ,"Lal Mahal, Rajasthan ",26.9925078,77.5890115
Delhi Gate,,Rajasthan ,"Delhi Gate, Rajasthan ",24.5853565,73.6950443
Babars Garden,,Rajasthan ,"Babars Garden, Rajasthan ",,
Sheargarh Fort,,Rajasthan ,"Sheargarh Fort, Rajasthan ",,
Ancient Mound Bhadrakali,,Rajasthan ,"Ancient Mound Bhadrakali, Rajasthan ",,
Ancient Mound ,,Rajasthan ,"Ancient Mound , Rajasthan ",,
Temple containing Fresco Paintings ,,Rajasthan ,"Temple containing Fresco Paintings , Rajasthan ",,
Ancient Stie Lodruva Patan,,Rajasthan ,"Ancient Stie Lodruva Patan, Rajasthan ",,
Kalapahar,,Rajasthan ,"Kalapahar, Rajasthan ",,
Ancient Mound ,,Rajasthan ,"Ancient Mound , Rajasthan ",,
"Megalithic Site, Thirupporur",,Tamilnadu ,"Megalithic Site, Thirupporur, Tamilnadu ",,
Temple of Chaturdasa Devata ,,Tripura ,"Temple of Chaturdasa Devata , Tripura ",,
Burhiya ka Tal,,Uttar Pradesh ,"Burhiya ka Tal, Uttar Pradesh ",,
Jama Masjid,,Uttar Pradesh ,"Jama Masjid, Uttar Pradesh ",27.0946233,77.6620854
Jama Masjid,,Uttar Pradesh ,"Jama Masjid, Uttar Pradesh ",27.0946233,77.6620854
Excavated sites   ,,Uttar Pradesh ,"Excavated sites   , Uttar Pradesh ",,
Kota Mound,,Uttar Pradesh ,"Kota Mound, Uttar Pradesh ",,
"Gate way & Sarai, Ekdil",,Uttar Pradesh ,"Gate way & Sarai, Ekdil, Uttar Pradesh ",,
 Mosque and Sarai,,Uttar Pradesh ," Mosque and Sarai, Uttar Pradesh ",,
Mound known as old fort of Kannauj ,,Uttar Pradesh ,"Mound known as old fort of Kannauj , Uttar Pradesh ",,
"Mound known as Lakha Mandap, Barnawa",,Uttar Pradesh ,"Mound known as Lakha Mandap, Barnawa, Uttar Pradesh ",,
Khanquah Fatehpur Sikri,,Uttar Pradesh ,"Khanquah Fatehpur Sikri, Uttar Pradesh ",,
"Khatia Khana, Fatehpur Sikri",,Uttar Pradesh ,"Khatia Khana, Fatehpur Sikri, Uttar Pradesh ",,
Fort wall near Lal Darwaza Fatehpur Sikri,,Uttar Pradesh ,"Fort wall near Lal Darwaza Fatehpur Sikri, Uttar Pradesh ",,
Jagner Fort,,Uttar Pradesh ,"Jagner Fort, Uttar Pradesh ",,
"Fortified Sarai with all its walls and gateways, Kosi",,Uttar Pradesh ,"Fortified Sarai with all its walls and gateways, Kosi, Uttar Pradesh ",,
"Khera ki Bandi, Old Cemetery",,Uttar Pradesh ,"Khera ki Bandi, Old Cemetery, Uttar Pradesh ",,
Small high mound at Bara,,Uttar Pradesh ,"Small high mound at Bara, Uttar Pradesh ",,
Ruined fort of Samudra-Gupta and Hansagupta at Jhunsi,,Uttar Pradesh ,"Ruined fort of Samudra-Gupta and Hansagupta at Jhunsi, Uttar Pradesh ",,
Tomb of Solar Saifud-din,,Uttar Pradesh ,"Tomb of Solar Saifud-din, Uttar Pradesh ",,
Tomb of Rajab Salar Alias Hatila Salar,,Uttar Pradesh ,"Tomb of Rajab Salar Alias Hatila Salar, Uttar Pradesh ",,
Jama Masjid,,Uttar Pradesh ,"Jama Masjid, Uttar Pradesh ",27.0946233,77.6620854
Monuments in memory of General White lock's force,,Uttar Pradesh ,"Monuments in memory of General White lock's force, Uttar Pradesh ",,
Extensive brick strewn mound at Asothar,,Uttar Pradesh ,"Extensive brick strewn mound at Asothar, Uttar Pradesh ",,
Bagh Badshahi at Khajuha,,Uttar Pradesh ,"Bagh Badshahi at Khajuha, Uttar Pradesh ",,
Hathikhana mosque or Jaichnadi mosque at Hathgaon,,Uttar Pradesh ,"Hathikhana mosque or Jaichnadi mosque at Hathgaon, Uttar Pradesh ",,
"Circular mound, the site of a temple at Khairai",,Uttar Pradesh ,"Circular mound, the site of a temple at Khairai, Uttar Pradesh ",,
Tikhariya extensive mound & a group of Hindu sculptures,,Uttar Pradesh ,"Tikhariya extensive mound & a group of Hindu sculptures, Uttar Pradesh ",,
Kurari Four temple,,Uttar Pradesh ,"Kurari Four temple, Uttar Pradesh ",,
Square sand stone pillar bearing an inscription Mahipal Deva Samrat dated 974 in the Municipal Garden attached to the town hall,,Uttar Pradesh ,"Square sand stone pillar bearing an inscription Mahipal Deva Samrat dated 974 in the Municipal Garden attached to the town hall, Uttar Pradesh ",,
Tomb of Bahu Begum,,Uttar Pradesh ,"Tomb of Bahu Begum, Uttar Pradesh ",,
Tomb of Shuja-ud-Daula (Gulab Bari),,Uttar Pradesh ,"Tomb of Shuja-ud-Daula (Gulab Bari), Uttar Pradesh ",,
Tomb of Hazi Iqbal,,Uttar Pradesh ,"Tomb of Hazi Iqbal, Uttar Pradesh ",,
Tomb of Nawab Sadar Jahan at Pihani,,Uttar Pradesh ,"Tomb of Nawab Sadar Jahan at Pihani, Uttar Pradesh ",,
Memorial Tomb at Khasaura,,Uttar Pradesh ,"Memorial Tomb at Khasaura, Uttar Pradesh ",,
"Gandwa, Brick mound locally called banker garh",,Uttar Pradesh ,"Gandwa, Brick mound locally called banker garh, Uttar Pradesh ",,
Jain temple mounds at Sumerpur,,Uttar Pradesh ,"Jain temple mounds at Sumerpur, Uttar Pradesh ",,
"Panch Mahal complex, Jhansi Fort",,Uttar Pradesh ,"Panch Mahal complex, Jhansi Fort, Uttar Pradesh ",,
Mound at Bithur,,Uttar Pradesh ,"Mound at Bithur, Uttar Pradesh ",,
Memorial well Garden,,Uttar Pradesh ,"Memorial well Garden, Uttar Pradesh ",,
Subedar Ka Talab,,Uttar Pradesh ,"Subedar Ka Talab, Uttar Pradesh ",,
"Three images and a Gupta Pillar in the compound of a temple at Behta, Ghatampur",,Uttar Pradesh ,"Three images and a Gupta Pillar in the compound of a temple at Behta, Ghatampur, Uttar Pradesh ",,
Bundela temple at Banpur,,Uttar Pradesh ,"Bundela temple at Banpur, Uttar Pradesh ",,
Jain temple at Banpur,,Uttar Pradesh ,"Jain temple at Banpur, Uttar Pradesh ",,
Large temple in front of Panch Marhia Madanpur,,Uttar Pradesh ,"Large temple in front of Panch Marhia Madanpur, Uttar Pradesh ",,
Jain temple and a Torana or gateway at Siron Khurd,,Uttar Pradesh ,"Jain temple and a Torana or gateway at Siron Khurd, Uttar Pradesh ",,
Cemetery Kaiser Pasand near Kaiserbagh Bus Stand,,Uttar Pradesh ,"Cemetery Kaiser Pasand near Kaiserbagh Bus Stand, Uttar Pradesh ",,
 Kalan-ki-Lat at Amindabad ,,Uttar Pradesh ," Kalan-ki-Lat at Amindabad , Uttar Pradesh ",,
British Cemetery at Chiria Jheel at Sapru Marg,,Uttar Pradesh ,"British Cemetery at Chiria Jheel at Sapru Marg, Uttar Pradesh ",,
"Two Cemeteries at Lucknow  Faizabad Raod, miles 4.5",,Uttar Pradesh ,"Two Cemeteries at Lucknow  Faizabad Raod, miles 4.5, Uttar Pradesh ",,
Tomb of janab-e-Aliya,,Uttar Pradesh ,"Tomb of janab-e-Aliya, Uttar Pradesh ",,
Bara Imambare (Asaf-ud-Daula's Imambara),,Uttar Pradesh ,"Bara Imambare (Asaf-ud-Daula's Imambara), Uttar Pradesh ",,
Asafi Masjid,,Uttar Pradesh ,"Asafi Masjid, Uttar Pradesh ",,
Maqbara Shahnajaf or Tomb of Ghazi-ud-Din Haider,,Uttar Pradesh ,"Maqbara Shahnajaf or Tomb of Ghazi-ud-Din Haider, Uttar Pradesh ",,
Rauza-e-Kazmain/Kazmain building,,Uttar Pradesh ,"Rauza-e-Kazmain/Kazmain building, Uttar Pradesh ",,
Picture gallery,,Uttar Pradesh ,"Picture gallery, Uttar Pradesh ",26.8749975,80.9075262
Jama Masjid at Hussainabad,,Uttar Pradesh ,"Jama Masjid at Hussainabad, Uttar Pradesh ",,
Chhota Imambara/tomb of Mahammad Ali Shah,,Uttar Pradesh ,"Chhota Imambara/tomb of Mahammad Ali Shah, Uttar Pradesh ",,
Tahsin Ali Masjid,,Uttar Pradesh ,"Tahsin Ali Masjid, Uttar Pradesh ",,
Amjad Ali Shah's Mausoleum,,Uttar Pradesh ,"Amjad Ali Shah's Mausoleum, Uttar Pradesh ",,
Sher Darawaza/Neil's Gate,,Uttar Pradesh ,"Sher Darawaza/Neil's Gate, Uttar Pradesh ",,
Kaisarbagh Gate,,Uttar Pradesh ,"Kaisarbagh Gate, Uttar Pradesh ",,
General Wali Kothi,,Uttar Pradesh ,"General Wali Kothi, Uttar Pradesh ",,
 Karbala Talkatora,,Uttar Pradesh ," Karbala Talkatora, Uttar Pradesh ",,
Dargah Hazarat Abbas,,Uttar Pradesh ,"Dargah Hazarat Abbas, Uttar Pradesh ",,
Dianut-Daula Karbala,,Uttar Pradesh ,"Dianut-Daula Karbala, Uttar Pradesh ",,
Malka Jahan Karbala,,Uttar Pradesh ,"Malka Jahan Karbala, Uttar Pradesh ",,
"Nasir-ud-din Haider's Karbala, Daliganj",,Uttar Pradesh ,"Nasir-ud-din Haider's Karbala, Daliganj, Uttar Pradesh ",,
Nagram mound,,Uttar Pradesh ,"Nagram mound, Uttar Pradesh ",,
Paharnagar Tikuria mound,,Uttar Pradesh ,"Paharnagar Tikuria mound, Uttar Pradesh ",,
Sikehawali Kothi,,Uttar Pradesh ,"Sikehawali Kothi, Uttar Pradesh ",,
Jama Masjid,,Uttar Pradesh ,"Jama Masjid, Uttar Pradesh ",27.0946233,77.6620854
Lake of Kirat Sagar,,Uttar Pradesh ,"Lake of Kirat Sagar, Uttar Pradesh ",,
Lake of Madan Sagar,,Uttar Pradesh ,"Lake of Madan Sagar, Uttar Pradesh ",,
Lake of  Vijay Sagar,,Uttar Pradesh ,"Lake of  Vijay Sagar, Uttar Pradesh ",,
A flat roofed temple at Urvara,,Uttar Pradesh ,"A flat roofed temple at Urvara, Uttar Pradesh ",,
Large tank at Pathari Kadin,,Uttar Pradesh ,"Large tank at Pathari Kadin, Uttar Pradesh ",,
Isauli Mosque,,Uttar Pradesh ,"Isauli Mosque, Uttar Pradesh ",,
 Large Dih called Majhangaon with brick towers on four comers,,Uttar Pradesh ," Large Dih called Majhangaon with brick towers on four comers, Uttar Pradesh ",,
Mound known at Kutti Satruhan Das,,Uttar Pradesh ,"Mound known at Kutti Satruhan Das, Uttar Pradesh ",,
"Small round shaped mound, Tandwa",,Uttar Pradesh ,"Small round shaped mound, Tandwa, Uttar Pradesh ",,
Tomb of Qurban Mohammed at Banger Mau,,Uttar Pradesh ,"Tomb of Qurban Mohammed at Banger Mau, Uttar Pradesh ",,
Old Nawabi Mosque,,Uttar Pradesh ,"Old Nawabi Mosque, Uttar Pradesh ",,
"Stone Observatory, Man Mahal",,Uttar Pradesh ,"Stone Observatory, Man Mahal, Uttar Pradesh ",,
Dharahra Masjid,,Uttar Pradesh ,"Dharahra Masjid, Uttar Pradesh ",,
Remains of fine massive brick fort,,Uttar Pradesh ,"Remains of fine massive brick fort, Uttar Pradesh ",,
A large mound of brick ruins,,Uttar Pradesh ,"A large mound of brick ruins, Uttar Pradesh ",,
Tomb of Abhiman ,,Uttar Pradesh ,"Tomb of Abhiman , Uttar Pradesh ",,
Atala Masjid,,Uttar Pradesh ,"Atala Masjid, Uttar Pradesh ",,
Jama Masjid,,Uttar Pradesh ,"Jama Masjid, Uttar Pradesh ",27.0946233,77.6620854
Lal Masjid (Lal Darwaza),,Uttar Pradesh ,"Lal Masjid (Lal Darwaza), Uttar Pradesh ",,
Ancient mound,,Uttar Pradesh ,"Ancient mound, Uttar Pradesh ",,
"Mound of brick ruins called Asmanpur Dih, Chetiaon",,Uttar Pradesh ,"Mound of brick ruins called Asmanpur Dih, Chetiaon, Uttar Pradesh ",,
Large flat topped mound of ruins called Dharmatiya,,Uttar Pradesh ,"Large flat topped mound of ruins called Dharmatiya, Uttar Pradesh ",,
Ancient mound of ruins,,Uttar Pradesh ,"Ancient mound of ruins, Uttar Pradesh ",,
Dih or mound apparently the remains of Buddhist stupa                              ,,Uttar Pradesh ,"Dih or mound apparently the remains of Buddhist stupa                              , Uttar Pradesh ",,
"High square shaped mound, Rudrapur",,Uttar Pradesh ,"High square shaped mound, Rudrapur, Uttar Pradesh ",,
Extensive mound,,Uttar Pradesh ,"Extensive mound, Uttar Pradesh ",,
Clive House,,West Bengal ,"Clive House, West Bengal ",22.6264963,88.4161458
Hill Fort and buildings therein and the fortifications at the foot of the hill.,,,Hill Fort and buildings therein and the fortifications at the foot of the hill.,,
Madhavaraya temple (old Vishnu temple),,,Madhavaraya temple (old Vishnu temple),,
Outer wall of the Mahalakshmi temple,,,Outer wall of the Mahalakshmi temple,,
Group of sculptures,,,Group of sculptures,,
Group of old temples together with adjacent land,,,Group of old temples together with adjacent land,,
Large dolmen on a rocky hillock,,,Large dolmen on a rocky hillock,,
Mallikarjuna (siva) temple,,,Mallikarjuna (siva) temple,,
Virabhadra temple,,,Virabhadra temple,13.8017072,77.6093255
Basavannah temple,,,Basavannah temple,,
Hill fort,,,Hill fort,17.4033293,78.4736919
Large bastion and an old gateway,,,Large bastion and an old gateway,,
Extensive hill-fortress with outlying fortification excluding the fort gate,,,Extensive hill-fortress with outlying fortification excluding the fort gate,,
Palace and two temples of Rama and Krishna,,,Palace and two temples of Rama and Krishna,,
Chintalarayaswami temple,,,Chintalarayaswami temple,,
Rameswaraswami temple,,,Rameswaraswami temple,,
